Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Israel ,,,,Español,Chile,Santiago de Chile,,Partido de Sionistas Generales (CLARI),,october 1948; 2da epoca: january 1959 ,10,XX,1948,,november 1950; 2da epoca: october 1960,11,XX,1950,,,sionismo,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Israel,,,,Español,Chile,Santiago de Chile,,Partido de Sionistas Generales (CLARI),,october 1948; 2da epoca: january 1959 ,01,XX,1959,,november 1950; 2da epoca: october 1960,10,XX,1960,,,sionismo,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Israel : Periódico quincenal de la Federación Sionista de Chile,,,Roberto Levy - director; Jacobo Jankelevich - admin,Español,Chile,Santiago de Chile,Casilla 5007,Federación Sionista de Chile,Diario,15 december 1924,12,15,1924,,3 julio 1926,07,03,1926,,biweekly,sionismo,fuente: Moshe Nes El. Chile: Datos de impresión varían.,Center for Jewish History CJH (NY); NLI;  Bib Nac Chile
"Israel de hoy :
selecciones Sionistas",,,Rafael Pliscoff - director; Isabel Adams - ed,Español,Chile,Santiago de Chile,Eliodoro Yañez 2041,Israel de Hoy,Revista,april 1983,04,XX,1983,,,,,,/,cada dos meses,sionismo,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile; NLI
Jabad times,,,,Español,Chile,Santiago de Chile,,Jabad-Lubavitch de Chile,,1985,XX,XX,1985,,no. 7 (july/august 1985),08,XX,1985,~,,jabad,,Bib Nac Chile
Jalutz,,,,Español,Chile,Temuco,,Unión Juventud Judía de Temuco/ Shomer ha-tsa`ir,Revista,1944,XX,XX,1944,,1945,XX,XX,1945,,,sionismo,,Harvard
Jalutz,,,,Español,Chile,Santiago de Chile,,Hashomer Hatzair Chile,Revista,agosto 1984,08,XX,1984,,,,,,/,quarterly,sionismo,,Harvard
Jerut,,,,Español,Chile,Santiago de Chile,,Partido Sionista Revisionista de Chile,,1955,XX,XX,1955,,,,,,/,,sionismo revisionista,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Jinuj,,,,Español,Chile,Santiago de Chile,,Vaad Hajinuj de Chile,,december 1944,12,XX,1944,,,,,,/,,,,Bib Nac Chile
JIS,,,R. Alaluf P. - director,Español,Chile,Santiago de Chile,Sta. Isabel 356,Juventud israelita Sefardí ,Revista,1945,XX,XX,1945,,,,,,/,,sefaradies; juventud,,NLI
Judaica ibero-americana,,,Gunther Bohm,Español,Chile,Santiago de Chile,Miguel Claro 182,Universidad de Chile. Centro de Estudios de Cultura Judaica,journal,1973,XX,XX,1973,,1979,XX,XX,1979,,irregular,judaica,no. 1 (1973)-no. 3 (1979). Temas Judios en Latinoamerica,LoC; UCLA;  Stanford; Univ Florida; Harvard; Brandeis; NYPL; Utexas; Center for Jewish History CJH (NY); NLI; Bibl Nac Chile
"
Juntos",,,,Español,Chile,Santiago de Chile,,Keren Hayesod de Chile,Boletín,1995,XX,XX,1995,,,,,,/,,sionista,,Harvard
Juventud,,,,Español,Chile,Santiago de Chile,,Centro Universitario Judío (Chile),,,,,,,,,,,,,,,Bib Nac Chile
Kerem hayam,,,,Español,Chile,Viña del Mar,,Kerem Hayam,,december 1995,12,XX,1995,,,,,,/,quarterly,,,UCLA; HUC
"
Keren Hayesod Chile",,,,Español,Chile,Santiago de Chile,,Keren Hayesod. Division Femenina,Boletín,1991?,XX,XX,1991,?,,,,,/,,sionista,,Harvard
Kidma,,,,Español,Chile,Santiago de Chile,Clasificador 271,Movimiento Juvenil Sionista Socialista Haschomer Hatzair,Revista,194?,XX,XX,194X,,,,,,/,,juventud sionista,,Harvard
Kol Haijud,,Hora hebrea,,"Español,Hebreo",Chile,Santiago de Chile,,Ijud Hanoar Hajlutzi,,november 1954,11,XX,1954,,april/may 1955,05,XX,1955,,,,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Kol Hamaccabim,,,,Español,Chile,,,Movimiento Maccabi Hatzair,,may 1989,05,XX,1989,,,,,,/,,juventud,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Kol hashavua,,,,Español,Chile,Santiago de Chile,,Fundación Educacional Susy Kreiman,,200?,XX,XX,200X,,,,,,/,,,,Harvard
Kol Viña : boletín informativo del Departamento de Culto C.I.V.,,,,Español,Chile,Viña del Mar,,Comunidad Israelita de Valparaíso,Boletín,1900s,XX,XX,19XX,,,,,,/,weekly,,,UCLA
La Omek,,Cuadernos de profundización para el Betar,,Español,Chile,Santiago de Chile,,Departamento Latinoamericano de Betar,Revista,198?,XX,XX,198X,,,,,,/,,sionismo revisionista,,Harvard
La palabra israelita,דאס יידישע ווארט,La Palabra israelita = Dos idisiche vort,Moises Yudelevich Goldbaum - director (2da epoca),Idish; Español. luego Español,Chile,Santiago de Chile,Copiapó 747,Colectividad Judía de Chile,Diario,april 1944; 4 diciembre 1953 (2da epoca),04,XX,1944,,octubre 1951,10,XX,1951,,weekly,,Datos de impresión varían. Suspendida (dic. 1951)-(nov. 1953),HUC?; NLI; 
La palabra israelita,דאס יידישע ווארט,La Palabra israelita = Dos idisiche vort,Moises Yudelevich Goldbaum - director (2da epoca),Idish; Español. luego Español,Chile,Santiago de Chile,Copiapó 747,Colectividad Judía de Chile,Diario,april 1944; 4 diciembre 1953 (2da epoca),12,04,1953,,,,,,/,weekly,,Datos de impresión varían. Suspendida (dic. 1951)-(nov. 1953),HUC?; NLI; 
La Patria Israelita,,,Boris Kojano,Español,Chile,,,Federacion Sionista de Chile,Diario,15 may 1920,05,15,1920,,15 october 1920 ,10,15,1920,,weekly ; biweekly,sionista,fuenet: Moshe Nes El,Bib Nac Chile
La prensa israelita,,,,"Hebreo,Español",Chile,Santiago de Chile,,Asociación de Jóvenes Israelitas,Diario,1929,XX,XX,1929,,1936?,XX,XX,1936,?,,,,Bib Nac Chile
"
La Voz",,,,Español,Chile,Santiago de Chile,,Hora Hebrea,Boletín,15 septiembre 1953,09,15,1953,,,,,,/,monthly,,ver Hakol,Center for Jewish History CJH (NY)
La voz de la Wizo,,Boletín Periodistico,,Español,Chile,Santiago de Chile,,Wizo,Boletín,1942,XX,XX,1942,,1946,XX,XX,1946,,,,,Bib Nac Chile
Legado,,,"Valeria Dougnac, Martin Hirsch, Leon Steuerman, Shmuel Szteinhendler - eds",Español,Chile,Santiago de Chile,Av. Las Condes 8361,Estadio Israelita Maccabi,Revista,2000,XX,XX,2000,,,,,,,,social deportivo,,Harvard
Magazine cultural,,,"Gregorio Goldenberg, J. Adam L.Editores ",Español,Chile,Santiago de Chile,,,,july 1981,07,XX,1981,,august 1981?,08,XX,1981,?,,literatura,,Bib Nac Chile
Micro-boletin zum ... Zionistenkongress Extrabeilage des Forum Habone,,,,Alemán,Chile,Santiago de Chile,Serrano 202,"Forum ""Habone""",Boletín,19?,XX,XX,19XX,,,,,,/,,sionista,,Harvard
