Titulo Original,Transliteración,Titulo en Portugués,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
Essencia SIBRA,,,,Portugués,Brasil,Porto Alegre,,Sociedade Israelita Brasileira de Cultura e Beneficência,Revista,2002?,XX,XX,2002,?,,,,,/,,Comunitaria,Other Titles:	Informativo essencia SIBRA,Harvard; UCLA
Este mês na CIP,,,,Portugués,Brasil,São Paulo,,Congregação Israelita Paulista,Revista,1900?,XX,XX,1900,?,,,,,/,,Comunitaria,,Harvard
Federação Israelita em notícia,,,,Portugués,Brasil,Porto Alegre,,Federação Israelita do Rio Grande do Sul,,september 1995,09,XX,1995,,,,,,/,,Sionista,,UCLA; Harvard; NYPL
FIERJ news : Fundo Comunitario : informativo destinado a comunidade judaica do Estado do Rio de Janeiro ,,,,Portugués,Brasil,Rio de janeiro ,,Federação Israelita do Estado do Rio de Janeiro,,1999?,XX,XX,1999,?,,,,,/,,,,Bib. Nac. Brasil
FISESP comunicação ,,,,Portugués,Brasil,São Paulo,,Federação Israelita do Estado de São Paulo,,,,,,,,,,,,,,,Harvard
Folha da Coletividade,,,,Portugués,Brasil,São Paulo,,,,1964,XX,XX,1964,,,,,,/,,,"tomado de American Jewish Year Book v.66, 1965, p.348",
Folha Israelita,,,Waldemar Bastos - editor,Portugués,Brasil,Rio de janeiro ,"Rua Senador Dantas, 38",Folha Israelita,Revista,diciembre 1984,12,XX,1984,,,,,,/,monthly,,,HUC; Harvard; NLI
Folha Israelita,,,,Portugués,Brasil,Manaus,,Coletividade Israelita Brasileira No Amazonas,,1949,XX,XX,1949,,año 11 1959,,,,,,,,NLI
Folha judaica,,,,Portugués,Brasil,Porto Alegre,,Federação Israelita do Rio Grande do Sul,,,,,,,,,,,,monthly,,,UCLA; NYPL
Der freie Arbeiter,,,,,Brasil,Porto Alegre,,Sozialistische Arbeiter Verein,,1920?,XX,XX,1920,?,,,,,/,,Obrero,,"Brill [1(1920): no.10, 14; 2(1921): no.1; 3(1922): . no.5, 7-9, 10(inc.), 11-26; 4(1923): no.1-26;.
5(1924): no.1-10, 13, 17-18, 23-32, 35-38; 6(1925): . no.4, 9-10, 12-13, 15-17; 7(1926):
no.2-3, 14-16;. 8(1927): no.2-12; 9(1928): no.1-12; 10(1929): no.1-12;. 11(1930): no.1-4 ]"
Gerações / Brasil: boletim da Sociedade Genealógica Judaica do Brasil,,,Guilherme Faiguenboim; Reuven Faingold & Alain Bigio - editores,Portugués,Brasil,São Paulo,"Rua Jardim Ivone, 17",Sociedade Genealógica Judaica do Brasil,Boletin,octubre 1994,10,XX,1994,,,,,,/,semestral ,Genealogía,,Center for Jewish History CJH (NY); NLI; Bib. Nac. Brasil
